移动MM：
应用编码：	 300008412891
app key：	E6F5F411D41949C8
计费点代码	 商品名称	 计费类型	 商品资费(元)	 触发计费说明	 计费点位置描述
30000841289101 	500硬币 	 购买类-可重复购买 	1元 	 	 
30000841289102 	1200硬币 	 购买类-可重复购买 	2元 	 	 
30000841289103 	2000硬币 	 购买类-可重复购买 	3元 	 	 
30000841289104 	3500硬币 	 购买类-可重复购买 	5元 	 	 
30000841289105 	5000硬币 	 购买类-可重复购买 	6元 	 	 
30000841289106 	100艾尔特 	 购买类-可重复购买 	1元 	 	 
30000841289107 	250艾尔特 	 购买类-可重复购买 	2元 	 	 
30000841289108 	500艾尔特 	 购买类-可重复购买 	3元 	 	 
30000841289109 	700艾尔特 	 购买类-可重复购买 	4元 	 	 
30000841289110 	1000艾尔特 	 购买类-可重复购买 	5元 	 	 
30000841289111 	1500艾尔特 	 购买类-可重复购买 	6元 	 	 
